Dose Level,Method,Iteration,Objective,RelativeChange,RelativeError,StepSize
50%,TV-GD,106,323.5349492764039,0.10194730516833113,,
50%,TV-GD,107,325.807020077689,0.10196909686364189,,
50%,TV-GD,108,323.69106700510247,0.10193556681192692,,
50%,TV-GD,109,325.71539544827675,0.10181185443860832,,
50%,TV-GD,110,323.53281805896796,0.10202090091100084,,
50%,TV-GD,111,326.0157821986494,0.10202310640194216,,
50%,TV-GD,112,323.8040101102672,0.1019687991395724,,
50%,TV-GD,113,325.7448749792278,0.10184991194207976,,
50%,TV-GD,114,323.60243832444075,0.10201044250428919,,
50%,TV-GD,115,325.9277856379587,0.10200943657934057,,
50%,TV-GD,116,323.7771916196489,0.10199080444151551,,
50%,TV-GD,117,325.8786051206824,0.10183848621942898,,
50%,TV-GD,118,323.531914159762,0.10195213091495954,,
50%,TV-GD,119,325.84457493715735,0.10195894065086235,,
50%,TV-GD,120,323.79412741274336,0.10198781959234102,,
50%,Adaptive VST-PGD,1,63784.131231494,0.03152463270395995,0.15554747325217697,0.08
50%,Adaptive VST-PGD,2,58406.95830106791,0.06675368870624138,0.1149563548783957,0.2
50%,Adaptive VST-PGD,3,52133.92692883486,0.05407981854163069,0.10341445438448699,0.12211168188999402
50%,Adaptive VST-PGD,4,40582.86917338751,0.031049511722103382,0.09400374782859028,0.06935778350153178
50%,Adaptive VST-PGD,5,38318.08888459295,0.018326970351243938,0.09007660322028492,0.04785406086372434
50%,Adaptive VST-PGD,6,34930.10893973684,0.011077473223896296,0.08794549784031698,0.028140936931066732
50%,Adaptive VST-PGD,7,34089.0436527931,0.006415293698519144,0.08670187009573262,0.01872139078444589
50%,Adaptive VST-PGD,8,33010.44627147652,0.004042597836536542,0.08597515386871181,0.011793094373841252
50%,Adaptive VST-PGD,9,32748.302422406818,0.0025195236190072466,0.0855246728166482,0.0077425385837427705
50%,Adaptive VST-PGD,10,32250.33511797811,0.0015924279978064228,0.0852587361443366,0.004779639642240891
50%,Adaptive VST-PGD,11,32179.757642109318,0.0010103406050612506,0.08508177535284601,0.0032645823541320967
50%,Adaptive VST-PGD,12,31968.302389336015,0.0006578363800698024,0.08497645270381539,0.0019764037897317486
50%,Adaptive VST-PGD,13,31929.9787044162,0.00043867097173935115,0.08490002602705121,0.001449211018076588
50%,Adaptive VST-PGD,14,31841.748757615173,0.0002852487419683863,0.08485415962825181,0.0008763413488632578
50%,Adaptive VST-PGD,15,31821.97035162911,0.0001738328067557575,0.08482209427219217,0.0006159073556280197
50%,Adaptive VST-PGD,16,31790.50393306524,0.00011666728664456132,0.0848015440790029,0.0003957586953644573
50%,Adaptive VST-PGD,17,31779.842990109682,7.030018090834432e-05,0.0847869265437182,0.0002821273403418875
50%,Adaptive VST-PGD,18,31769.10587391352,4.797376591523904e-05,0.08477667497715835,0.00019813901834187767
50%,Adaptive VST-PGD,19,31763.39575499837,3.06510996399292e-05,0.08476853307840097,0.00015753507926671707
50%,Adaptive VST-PGD,20,31758.78000165075,2.475586693182698e-05,0.08476108172116151,0.00014430373945122823
50%,Adaptive VST-PGD,21,31754.521630359584,2.415088452593335e-05,0.08475314720742165,0.0001537949353746327
50%,Adaptive VST-PGD,22,31750.319413401114,2.7945649919905817e-05,0.08474408837291635,0.00017575588806100905
50%,Adaptive VST-PGD,23,31746.099628547847,3.066159401011824e-05,0.08473520083356814,0.00017260895081709252
50%,Adaptive VST-PGD,24,31741.378074113185,2.7250170007263863e-05,0.08472781072425413,0.00014366147632964796
50%,Adaptive VST-PGD,25,31737.400392334235,2.135950117522134e-05,0.08472131525486623,0.00012637086276600206
50%,Adaptive VST-PGD,26,31733.73346522807,2.007861522630859e-05,0.08471430599856918,0.00013647075066564916
50%,Adaptive VST-PGD,27,31729.819799665427,2.5972740708108918e-05,0.08470510647630158,0.0001792763533710046
50%,Adaptive VST-PGD,28,31726.62990936589,3.367791284379542e-05,0.0846951595667198,0.00019405046460150974
50%,Adaptive VST-PGD,29,31721.315427789537,3.078821952253779e-05,0.08468782399896198,0.0001432501876354815
50%,Adaptive VST-PGD,30,31717.273187520463,2.0437781718271993e-05,0.08468210891764424,0.00011168950856119346
50%,Adaptive VST-PGD,31,31714.09691469889,1.6150510351915804e-05,0.0846761744981831,0.00011605242544992376
25%,TV-GD,1,448.59679395523756,0.0509906843759629,,
25%,TV-GD,2,375.9120330887338,0.0423615473718806,,
25%,TV-GD,3,328.2356328004219,0.03792028281794911,,
25%,TV-GD,4,299.84232729589803,0.03737462143634681,,
25%,TV-GD,5,283.23306040597635,0.04101970759832611,,
25%,TV-GD,6,277.5114493131662,0.04646325735729221,,
25%,TV-GD,7,275.0767010221135,0.051494176801501264,,
25%,TV-GD,8,275.85867849035526,0.055065563197108786,,
25%,TV-GD,9,276.61399818349673,0.057741219590922016,,
25%,TV-GD,10,278.52101180283194,0.06010277753322665,,
25%,TV-GD,11,280.5325752487709,0.06192944501014291,,
25%,TV-GD,12,282.3366498497062,0.06334578409342255,,
25%,TV-GD,13,284.2945329284872,0.06470785754675999,,
25%,TV-GD,14,285.9582291181488,0.06618623496201242,,
25%,TV-GD,15,288.65082853522995,0.0673072286782874,,
25%,TV-GD,16,290.00582679694827,0.06810348334656667,,
25%,TV-GD,17,291.7285089743091,0.06907338394690492,,
25%,TV-GD,18,293.43047811594744,0.0701876887438099,,
25%,TV-GD,19,295.8340569514422,0.07106340515946212,,
25%,TV-GD,20,296.97193071261614,0.07169867169823253,,
25%,TV-GD,21,298.79054043087547,0.07243854862084484,,
25%,TV-GD,22,299.957824967128,0.0734444775907768,,
25%,TV-GD,23,302.4738355315276,0.0741397235565305,,
25%,TV-GD,24,303.4112547935349,0.07468833134805386,,
